m, None
1.147999999999999851e-06,2.911347400000000030e-01
1.148500000000000100e-06,3.213908100000000267e-01
1.148999999999999926e-06,2.431179699999999888e-01
1.149499999999999963e-06,1.682965200000000050e-01
1.150000000000000001e-06,1.563962999999999881e-01
1.150500000000000038e-06,2.150624499999999883e-01
1.151000000000000076e-06,2.571244799999999886e-01
1.151499999999999902e-06,2.660054900000000111e-01
1.151999999999999939e-06,2.234980599999999984e-01
1.152499999999999977e-06,2.152486100000000069e-01
1.153000000000000015e-06,2.868346600000000191e-01
1.153500000000000052e-06,2.638532199999999994e-01
1.153999999999999878e-06,1.893492499999999967e-01
1.154500000000000127e-06,2.383028700000000000e-01
1.154999999999999953e-06,3.165650999999999882e-01
1.155499999999999991e-06,3.262578500000000159e-01
1.155999999999999816e-06,3.338561099999999837e-01
1.156500000000000066e-06,3.838336800000000104e-01
1.157000000000000103e-06,4.214761899999999728e-01
1.157499999999999929e-06,3.931975400000000120e-01
1.157999999999999967e-06,3.996353100000000214e-01
1.158500000000000004e-06,4.360624000000000167e-01
1.159000000000000042e-06,4.283806099999999950e-01
1.159500000000000079e-06,4.252145299999999795e-01
1.159999999999999905e-06,4.021953600000000018e-01
1.160500000000000154e-06,4.060173599999999938e-01
1.160999999999999980e-06,4.762338700000000036e-01
1.161500000000000018e-06,5.121120200000000011e-01
1.161999999999999844e-06,5.087926999999999866e-01
1.162500000000000093e-06,5.606737099999999918e-01
1.163000000000000131e-06,6.396308499999999730e-01
1.163499999999999956e-06,6.266175499999999676e-01
1.163999999999999994e-06,6.071398300000000470e-01
1.164500000000000031e-06,6.015540400000000121e-01
1.165000000000000069e-06,5.513386700000000307e-01
1.165499999999999895e-06,5.187947200000000425e-01
1.165999999999999932e-06,5.179631099999999488e-01
1.166500000000000182e-06,5.499517299999999720e-01
1.167000000000000008e-06,5.938773800000000103e-01
1.167500000000000045e-06,6.226115199999999739e-01
1.167999999999999871e-06,6.142117400000000060e-01
1.168500000000000120e-06,6.147450199999999754e-01
1.168999999999999946e-06,6.581297499999999578e-01
1.169499999999999984e-06,6.904364200000000507e-01
1.170000000000000021e-06,6.802407499999999496e-01
1.170500000000000059e-06,6.433777200000000418e-01
1.171000000000000096e-06,6.659678799999999566e-01
1.171499999999999922e-06,7.120695700000000405e-01
1.171999999999999960e-06,6.982727100000000187e-01
1.172499999999999997e-06,6.764504300000000470e-01
1.173000000000000035e-06,6.653323799999999455e-01
1.173500000000000072e-06,5.860813299999999559e-01
1.173999999999999898e-06,5.219953699999999586e-01
1.174500000000000147e-06,6.103469700000000442e-01
1.174999999999999973e-06,6.699960200000000254e-01
1.175500000000000011e-06,6.723097000000000101e-01
1.175999999999999837e-06,7.508890599999999971e-01
1.176500000000000086e-06,7.944213199999999864e-01
1.177000000000000124e-06,6.983599700000000521e-01
1.177499999999999949e-06,5.680105100000000240e-01
1.177999999999999987e-06,5.789490900000000551e-01
1.178500000000000024e-06,6.846555500000000016e-01
1.179000000000000062e-06,7.199326799999999915e-01
1.179499999999999888e-06,6.788079099999999588e-01
1.179999999999999925e-06,6.925320600000000049e-01
1.180500000000000175e-06,7.340314399999999795e-01
1.181000000000000001e-06,6.864833799999999764e-01
1.181500000000000038e-06,5.604994899999999891e-01
1.181999999999999864e-06,4.874717000000000078e-01
1.182500000000000113e-06,5.797613900000000431e-01
